Profile Text,Link,Name,Designation,Department
"Dr. Ritesh Rastogi is an eminent personality in the field of computer science education. He is serving NIET Greater Noida as an Associate Professor and Head of Department Computer Science He has academic experience of more than 25+ years. He did his schooling and Graduation from Dehra Dun.

He did his doctorate in Cloud Computing. He has published more than 50 papers in national/international journals and conferences. He has also authored books and chapters in computer science. He has also been engaged in delivering expert lectures at renowned universities and institutes.

Dr. Ritesh Rastogi has also been actively involved as a Convener in organizing various Conferences/FDPs at the National and International levels. He has also been an Advisory Board/Committee member at various International Conferences. He is currently the member of BOS for CS at NIET, Greater Noida Apart from the academic activities he has also been involved in social responsibilities.

He has also been awarded as “Corona Warrior” and been awarded by companies for his efforts and work in the field of education. He is also a member of professional societies like ISTE, IFERP, C# Corner, IAENG, Oracle Incorp. and many more",https://www.niet.co.in/faculty/ritesh-rastogi,Dr. Ritesh Rastogi,Associate Professor & Head,Information Technology
"Ashutosh Kumar Singh is a highly accomplished professional with a robust academic background and extensive expertise in Electronics and Communication Engineering. He obtained his Bachelor of Technology in ECE and Master of Technology in VLSI Design from Uttar Pradesh Technical University in 2009 and 2013, respectively. Currently, he is dedicated to advancing his academic pursuits through a Ph.D. program at Amity University, Greater Noida.

In addition to his academic achievements, Mr. Singh holds certification as a Trainer in Applied Robotic Control from APS, Aachen, Germany, showcasing his proficiency in cutting-edge technologies. His commitment to advancing knowledge is evident in his significant contributions to research, with over 26 published papers in various reputable journals and conferences.

Mr. Singh currently serves as an Assistant Professor in the Department of Electronics and Communication Engineering at Noida Institute of Engineering & Technology, Greater Noida. In this capacity, he plays a pivotal role in shaping the academic journeys of students. He has successfully guided over 100 students in their projects, spanning undergraduate and postgraduate programs.

Furthermore, Mr. Singh assumes several leadership roles within the institute, including serving as the Associate Dean for MOOCs and Innovation Lab, Additional Chief Proctor, and Coordinator of IDEA Lab. With over 13 years of teaching experience, he brings a wealth of knowledge and dedication to his roles, making significant contributions to the overall growth and success of the institute. Ph.D. (Pursuing), M.Tech, B.Tech",https://www.niet.co.in/faculty/ashutosh-kumar-singh,Mr. Ashutosh Kumar Singh,Assistant Professor,Electronics & Communication Engineering
Not Defined,https://www.niet.co.in/faculty/anusree-chatterjee,Ms. Anusree Chatterjee,Assistant Professor,Humanities & Applied Sciences
"Education

M.Tech (CSE)

B.Tech (IT)",https://www.niet.co.in/faculty/ram-kumar-sharma,Mr. Ram Kumar Sharma,Assistant Professor,Information Technology
"I am Mohd Danish working as an assistant professor in NIET, greater noida . He is currently pursuing Ph.D. from department of computer engineering, Jamia Millia Islamia University, New Delhi.

He obtained his M.Tech degree from Maulana Azad National Urdu University, Hyderabad and B.Tech degree from Jamia Hamdard University, New Delhi. Apart from that he qualified the UGC-NET examination 2 times. He is currently working as editor of the Book series “Futuristic Trends in Artificial Intelligence”.   His research field areas include recommender system, deep learning, Natural language processing, artificial intelligence",https://www.niet.co.in/faculty/mohd-danish,Mr. Mohd Danish,Assistant Professor,Information Technology
"Surya Prakash Sharma  working as Assistant Professor in the Department of Computer Science and Engineering at Noida Institute of Engineering and Technology, Greater Noida. He has received his B.Tech. in Computer Science and Engineering from IET, CSJM University Kanpur, India, in 2003, M.Tech in Computer Science  and Engineering from MD University, Rhtak, India, in 2011, and  pursuing Ph.D. in Computer Science and Engineering from Dr. APJAKTU, Lcuknow, India. He is having 20 years experience in in teaching and academics. Apart of this he is UGC-NET and GATE Qualified. He has published more than 15search papers in reputed journals and conferences. His are of research interests include NLP, Opinion Mining, Machine Learning.",https://www.niet.co.in/faculty/surya-prakash-sharma,Mr. Surya Prakash Sharma,Assistant Professor,Computer Science & Engineering
"Dr Waseem Ahmad Wani is an Assistant Professor at the Noida Institute of Engineering and Technology in Greater Noida, where he specializes in teaching Business Communication. He holds a PhD from Aligarh Muslim University (Aligarh) and an MPhil from Awadhesh Pratap Singh University (Rewa). He has made significant contributions to the field through numerous publications in international journals and active participation in various national and international seminars and conferences. Additionally, he has participated in various workshops focused on teaching and learning of English language which demonstrate his commitment to enhancing his educational skills. He is dedicated to fostering effective communication skills among students, equipping them for success in their professional endeavours.",https://www.niet.co.in/faculty/waseem-ahmad-wani,Dr. Waseem Ahmad Wani,Assistant Professor,Humanities & Applied Sciences
"I am working as an assistant professor in NIET, Greater noida since Aug’2007.I obtained M.Tech (VLSI Design) degree from Dr, A,P,J,Abdul Kalam Technical University, UP and B.Tech degree from UPTU, UP. Currently, I am working as an ERP Coordinator of the institute.",https://www.niet.co.in/faculty/rishi-singhal,Mr. Rishi Singhal,Assistant Professor,Computer Science & Engineering
"With fourteen years of academic experience, Mr. Anuj Kumar is an Assistant Professor in the MCA Department at NIET. His current area of study is image processing and deep learning for his PhD. More than 200 MCA and B.Tech students have benefited from his project guidance. For the past seven years, he has been the project coordinator. He is currently a project coordinator and proctor.",https://www.niet.co.in/faculty/anuj-kumar,Mr. Anuj Kumar,Assistant Professor,Master of Computer Applications (MCA)
"Ms. Madhu, Assistant Professor, Noida Institute of Engineering and Technology Greater Noida, has 2 years’ experience in teaching. She has completed M.Tech and B.Tech (Computer Science Engineering) from Punjab Technical University in 2018 and 2014. Her area of research is in Information Security, Data structure, Software Engineering Cyber Security, Artificial Intelligence, Information Security etc.",https://www.niet.co.in/faculty/madhu,Ms. Madhu,Assistant Professor,Computer Science
